month,total_sales
2016-09,134.97
2016-10,40325.11000000018
2016-12,10.9
2017-01,111798.35999999955
2017-02,234223.39999999612
2017-03,359198.85000000097
2017-04,340669.6800000002
2017-05,489338.2500000088
2017-06,421923.3700000031
2017-07,481604.52000000956
2017-08,554699.7000000135
2017-09,607399.6700000165
2017-10,648247.6500000167
2017-11,987765.3700000357
2017-12,726033.1900000188
2018-01,924645.000000037
2018-02,826437.1300000293
2018-03,953356.2500000309
2018-04,973534.0900000285
2018-05,977544.6900000274
2018-06,856077.860000021
2018-07,867953.4600000224
2018-08,838576.6400000234
